SR.NO,STATE/UT,CONFIRMED,DEATHS,RECOVERED
35,AN,6470,81,6175
7,ANDHRA,1344386,8988,1138028
29,AR,20854,69,18691
18,AS,310086,1909,265860
14,BR,622433,3503,519306
9,CG,883210,11094,749318
25,CH,52633,599,43506
33,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,9150,4,8086
6,DL,1361986,20310,1258951
23,GA,127639,1874,92974
11,GJ,714611,8731,578397
22,HP,145736,2068,104714
13,HR,652742,6075,539609
19,JH,301257,4182,246608
21,JK,229407,2912,174953
2,KA,2053191,20368,1440621
3,KL,2010934,6053,1571738
31,LADAKH,15807,158,14102
36,LD,4202,11,3171
1,MH,5226710,78007,4600196
28,ML,20985,250,17354
27,MN,37036,526,31238
12,MP,700202,6679,583595
34,MZ,8176,23,6120
30,NL,16890,165,13428
15,OR,565648,2232,473680
17,PB,467539,11111,376465
24,PY,77031,1045,60424
10,RJ,805658,6158,590390
32,SK,10392,183,7343
16,TG,511711,2834,449744
5,TN,1468864,16471,1279658
26,TR,39054,424,34946
20,UK,264683,4123,183478
4,UP,1563235,16369,1340251
8,WB,1053117,12728,911705
